epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3223.38,1.13334,0.83786,0.99686,0.85644,1,0.995,0.89415,0.54574,6.05146,1.1289,0.000800577,0.000800577,0.000800577
44,3299.19,1.08749,0.79956,0.97142,0.83349,1,0.85286,0.8052,0.33037,5.62094,0.99227,0.000779948,0.000779948,0.000779948
45,3376.28,1.12923,0.82902,0.9884,0.80407,1,0.87643,0.81094,0.34814,6.14427,0.99674,0.000759318,0.000759318,0.000759318
46,3453.25,1.14515,0.83728,1.00613,0.84052,1,0.92357,0.8723,0.345,4.0681,1.04034,0.000738689,0.000738689,0.000738689
47,3529.37,1.14002,0.8091,0.99187,0.83791,1,0.92357,0.87843,0.35499,7.44412,1.07448,0.00071806,0.00071806,0.00071806
48,3603.94,1.14464,0.8817,1.00623,0.82315,1,0.85286,0.80706,0.33017,6.90106,1.03414,0.000697431,0.000697431,0.000697431
49,3680.77,1.13161,0.85744,0.99653,0.80812,1,0.87643,0.80182,0.39276,7.30143,1.08372,0.000676802,0.000676802,0.000676802
50,3755.23,1.07451,0.81466,0.97857,0.84495,1,0.90071,0.84138,0.36102,3.92132,1.05649,0.000656173,0.000656173,0.000656173
51,3829.02,1.09805,0.78742,0.97178,0.8399,1,0.87643,0.83011,0.34672,3.97491,1.03445,0.000635544,0.000635544,0.000635544
52,3903.23,1.04002,0.75015,0.96202,0.72985,0.83333,0.87433,0.75782,0.49926,5.60326,1.19671,0.000614915,0.000614915,0.000614915
53,3979.58,1.09191,0.79622,0.97642,0.82247,0.83333,0.955,0.82584,0.52207,5.47057,1.2014,0.000594286,0.000594286,0.000594286
54,4053.83,1.06363,0.75624,0.95458,0.87732,1,0.995,0.87796,0.51331,7.52263,1.1945,0.000573656,0.000573656,0.000573656
55,4128.61,1.04842,0.74216,0.95538,0.82829,1,0.97214,0.80565,0.64672,7.70457,1.29227,0.000553027,0.000553027,0.000553027
56,4204.79,1.07425,0.80263,0.99947,0.82913,1,0.995,0.86591,0.52082,5.07646,1.15208,0.000532398,0.000532398,0.000532398
57,4282.24,1.05414,0.7531,0.95739,0.83655,1,0.94786,0.90573,0.36597,5.62369,1.11032,0.000511769,0.000511769,0.000511769
58,4364.38,1.02154,0.76705,0.96543,0.8379,1,0.92357,0.84034,0.36138,7.08929,1.10199,0.00049114,0.00049114,0.00049114
59,4444.53,1.06698,0.7821,0.99019,0.82143,1,0.92357,0.79368,0.48271,5.58098,1.17129,0.000470511,0.000470511,0.000470511
